time,C2H4,CH3CH2OO
0.0,373848772835.20447,978983778342.0314
0.001,1260402930621.353,2703142467107.024
0.002,1273512533958.158,3046639020726.1973
0.003,1256956246057.0188,3389124415613.2314
0.004,1356041735347.654,2854573294436.709
0.005,1426202417920.5808,2633879534159.432
0.006,1456761664547.376,2875376966123.8374
0.007,1584046442047.9155,2861586131747.2983
0.008,1670198497504.3174,2772608351461.5015
0.009000000000000001,1780831603949.1829,2538150780351.1025
0.01,1537303927313.1907,2760697777846.01
0.011,1756867124422.2253,2659848483533.5933
0.012,1595787225278.376,2530830416424.827
0.013000000000000001,1905971106057.804,2688069631232.604
0.014,1682423980414.5732,2502832863962.4976
0.015,1731101020771.0227,2336059768066.558
0.016,1903769801997.7576,2421926525263.344
0.017,1901952454333.7314,2395964217551.073
0.018000000000000002,1783311897913.1826,2356148527542.17
0.019,2047165284066.2478,2357111374106.7075
0.02,2058864165008.5232,2406085923352.1343
0.021,1860963387934.2712,2345292545126.094
0.022,2118259860307.642,2386369546464.664
0.023,2197740017435.6592,2096258221538.642
0.024,2049605754071.3628,2228217508310.4453
0.025,2321303329308.608,2271792325721.6133
0.026000000000000002,2257568978714.446,1982660581488.406
0.027,2207751476296.893,2040197239437.8818
0.028,2210403345470.43,2136738836332.2651
0.029,2295630198116.754,2083349345482.2844
0.03,2417956408199.0405,2185686759378.3057
