time,C2H4,CH3CH2OO
0.0,255542900303.67947,2066848372075.4343
0.001,934498886543.546,3482513951096.22
0.002,1246433202251.1772,2747008359611.116
0.003,1549942296438.936,2701928314800.0117
0.004,1776503678697.5588,2289698749485.168
0.005,2455004830030.926,2166181226759.239
0.006,2614861370096.857,1793955744081.3762
0.007,2691802079201.049,1552123312191.559
0.008,3051320322028.3496,1313507496712.3481
0.009000000000000001,3093879336714.5356,1194529952953.2715
0.01,3244416222058.0967,1043976961275.5953
0.011,3520559611540.943,992307399990.258
0.012,3440313335413.084,805340211288.903
0.013000000000000001,3649315850034.773,767290481505.3281
0.014,3692082896985.403,679523835144.1201
0.015,3931125564488.122,560982872102.9696
0.016,3895801059197.251,557646620858.5997
0.017,3954625940459.3496,438806795020.9419
0.018000000000000002,3790444078986.0576,393404570096.99664
0.019,4054746569250.239,343792536551.0824
0.02,3888776586119.6772,301931633817.2078
0.021,3967377175009.4263,269049880745.66382
0.022,4328436680136.4033,236065762321.11642
0.023,4170562214794.3213,205133782360.12872
0.024,4363590094132.019,165645784227.06757
0.025,4217583111701.9673,160484290365.11603
0.026000000000000002,4466176586087.734,143860554259.9182
0.027,4196125629794.693,135803382985.55754
0.028,4560423036661.621,104162043945.27565
0.029,4287478517889.5083,95624800362.89583
0.03,4119238010441.937,88267173615.27965
