time,C2H4,CH3CH2OO
0.0,113747134308.62788,2033706336837.7437
0.001,228433332714.24185,4043383934523.994
0.002,248717539340.69162,4596027364588.135
0.003,254567218752.06226,3816725676047.06
0.004,246559823432.94534,4147200287815.906
0.005,267560481166.07635,4161604377432.3564
0.006,244835547217.6159,4043475926553.0083
0.007,279464948879.5316,4149866785389.98
0.008,282261173258.18134,4183106436526.799
0.009000000000000001,317103313869.7009,4197118844690.319
0.01,280458155972.7425,4088146426501.624
0.011,332852784880.6993,4343595792164.4556
0.012,302781611516.94037,3722006144149.2065
0.013000000000000001,343053908859.1275,3537623790246.8076
0.014,344280871002.7031,4160635783093.224
0.015,353811227779.8763,4325367663750.832
0.016,330535083350.01013,3985835285678.625
0.017,376217993325.13245,3883310093227.163
0.018000000000000002,368591135271.5633,4021636216239.8325
0.019,362784339644.67065,3948547477872.98
0.02,367408954336.60736,4188987651125.219
0.021,395837762330.15485,4096529465418.36
0.022,396518174089.29596,3937150234282.5327
0.023,418766789747.008,4041585830476.5933
0.024,401915643019.70026,3763961718008.009
0.025,436503986207.0833,3973159507099.923
0.026000000000000002,429346563020.08075,3955093769669.786
0.027,463516328548.0759,3896047126877.329
0.028,443780234666.7803,4090975457149.1147
0.029,450436360400.07745,3920223836953.2725
0.03,456741582631.2597,3885587047413.5483
