time,C2H4,CH3CH2OO
0.0,8037605134.883376,94727308384.13914
0.001,20531335756.052963,206995258872.58377
0.002,20673949178.12473,192950036987.6018
0.003,25331288241.63501,192568148672.32455
0.004,28560890056.21942,192204781112.09607
0.005,31255464813.626766,180071111400.37717
0.006,36705972991.76099,183076633364.25293
0.007,39472122556.50067,173752615838.44196
0.008,41413912922.61913,171485402670.052
0.009000000000000001,49707977586.2544,172206803626.39062
0.01,52300830252.91912,160143565104.9174
0.011,52891410964.11551,176458341211.10184
0.012,54715813001.76876,164199131487.79462
0.013000000000000001,61539234459.765175,161016458030.44125
0.014,66237581631.421745,150759014007.68747
0.015,67198110142.478424,158948499107.43277
0.016,72029465484.73381,138962443885.6902
0.017,63130583924.7902,147273199176.29645
0.018000000000000002,72618335643.3328,152614023635.6745
0.019,77404551951.5476,150368156150.21036
0.02,77815164490.84845,147460614562.12534
0.021,71891612336.04987,135748361969.87926
0.022,82212801059.2157,132594169234.97589
0.023,86770444844.41988,139174275617.8879
0.024,84820825891.68578,141328361702.43274
0.025,81959947400.26122,124096371372.86726
0.026000000000000002,94396054743.90726,122368892765.96947
0.027,93023324922.02428,126449432499.72388
0.028,100996878375.1335,116093428169.18773
0.029,96598165063.74693,125489040786.35472
0.03,105906026343.6977,117179972990.13548
