time,C2H4,CH3CH2OO
0.0,21138269377.51448,31997928270.5938
0.001,77010692557.59554,116830546613.58372
0.002,95393792680.1026,117365256672.04039
0.003,101079085237.48177,109517672469.45647
0.004,112885488908.98798,96071233138.51836
0.005,136441787479.20087,88950646036.27022
0.006,120248692966.38866,84282478833.98973
0.007,136382520326.8848,75532384540.52129
0.008,145994589697.98495,71147061458.9359
0.009000000000000001,139278133687.05096,64164823131.97211
0.01,162040485126.77682,53217092483.044014
0.011,165116181677.02933,49122106976.07743
0.012,172909754476.98376,46641040369.75669
0.013000000000000001,167894031295.13214,42952522687.84273
0.014,179057381930.06073,36698217720.62551
0.015,193461331266.5812,32742343214.096375
0.016,183803002450.2644,34242037457.207325
0.017,167586658204.29077,29432131096.637
0.018000000000000002,166091923392.26685,27654938021.093746
0.019,192575929991.01392,25704961190.64333
0.02,201088302866.64322,21144912242.830627
0.021,184140502152.32257,20586368863.951458
0.022,190779322539.84644,19760149537.391747
0.023,202256312958.547,18063200020.277935
0.024,206670045929.3,15079669202.681452
0.025,189426949017.688,14863554653.946274
0.026000000000000002,185581089452.00876,12574425683.778841
0.027,202474792865.3571,10550469509.353476
0.028,201499321877.01236,11048034684.173744
0.029,207778197876.21643,8971465348.945583
0.03,194331585101.0527,8774350007.684599
