time,C2H4,CH3CH2OO
0.0,5642664606.351946,2223045407205.408
0.001,19726693886.007042,4708891341669.975
0.002,27238953730.81812,4176956131780.7793
0.003,33258743298.992416,4409619544664.623
0.004,43722736109.6539,4471443377248.864
0.005,57423632741.405846,4339590989357.906
0.006,59890644927.87427,4165176659197.269
0.007,73404564561.50854,3985351945158.096
0.008,72977796972.84378,4262748515336.267
0.009000000000000001,86628086777.62286,4215301546628.2725
0.01,94968957702.69363,4060750536352.19
0.011,105444785467.71037,3933055979741.272
0.012,118349415269.95259,4236878002932.9873
0.013000000000000001,120482866872.56567,3719654235765.8
0.014,130275445622.45518,4202726359979.25
0.015,136229440438.10591,4458497746014.621
0.016,138061375558.78406,4339812181005.3257
0.017,142607134031.5592,4267117933726.593
0.018000000000000002,168486140616.36844,4063347773554.146
0.019,171669359187.00443,4119092051785.442
0.02,176682302502.4638,4181520839020.597
0.021,191242697106.71692,4395725803205.9585
0.022,190299983753.9274,4106597556323.2603
0.023,205619263073.59482,4152790110393.943
0.024,199540641266.44675,4320408534198.158
0.025,233980523960.78558,4251210549032.0464
0.026000000000000002,228304936297.0185,4395177181690.2925
0.027,218604763199.96512,3894669594438.8726
0.028,248049393378.46396,3922284293289.9517
0.029,243256673878.3744,4367749228198.882
0.03,269221350291.63388,4303857402189.3506
