time,C2H4,CH3CH2OO
0.0,44971437184.0009,2345673516300.081
0.001,145506054446.3452,4205838013412.9937
0.002,239480610446.6549,4082502958616.065
0.003,342273502275.11615,3939903752453.3896
0.004,389394071265.62585,3826398496505.9067
0.005,482619982553.87415,3925525116673.404
0.006,547092595104.2891,4182027978171.1055
0.007,569045152352.4634,4068394633756.7705
0.008,659949421477.8129,4003351616592.836
0.009000000000000001,769894808698.7784,3239377541247.937
0.01,784071997612.3256,3543237634622.6904
0.011,921893894712.7472,3473528346579.6436
0.012,894937239886.6729,3337932883578.416
0.013000000000000001,1033351371658.4834,3240758963846.748
0.014,992947358027.2103,3283469211738.929
0.015,1187502403239.0837,3220406752738.4106
0.016,1224815713476.6406,3174465420559.0513
0.017,1311730651818.377,3035880739168.7266
0.018000000000000002,1301135854829.6384,3241421184644.587
0.019,1457969442822.462,3202906837003.2446
0.02,1569323378907.6973,2740360774450.158
0.021,1363370132364.1624,2972950885111.3735
0.022,1458088277958.8083,3100409090000.7197
0.023,1546926899467.16,2833810456632.1553
0.024,1806721328292.6086,2361864188482.499
0.025,1616844221414.4436,2532525837459.9214
0.026000000000000002,1775588867141.5076,2647175485214.0483
0.027,1770822265001.6963,2277119924603.222
0.028,1926798791819.2874,2599148971836.4556
0.029,1790916239012.5076,2763046444458.6978
0.03,1994889197441.0498,2363442602646.1924
