time,C2H4,CH3CH2OO
0.0,5687356715.431395,101685316841.88719
0.001,11421666635.712093,202169196726.1997
0.002,12435876967.034582,229801368229.40674
0.003,12728360937.603113,190836283802.35303
0.004,12327991171.647268,207360014390.7953
0.005,13378024058.303818,208080218871.61783
0.006,12241777360.880796,202173796327.65042
0.007,13973247443.976582,207493339269.49902
0.008,14113058662.909067,209155321826.33997
0.009000000000000001,15855165693.485046,209855942234.51596
0.01,14022907798.637125,204407321325.0812
0.011,16642639244.034966,217179789608.22278
0.012,15139080575.84702,186100307207.46033
0.013000000000000001,17152695442.956375,176881189512.3404
0.014,17214043550.13516,208031789154.66122
0.015,17690561388.993816,216268383187.54163
0.016,16526754167.500507,199291764283.93127
0.017,18810899666.256622,194165504661.35815
0.018000000000000002,18429556763.578167,201081810811.99164
0.019,18139216982.233532,197427373893.64902
0.02,18370447716.830368,209449382556.261
0.021,19791888116.507744,204826473270.918
0.022,19825908704.464798,196857511714.12665
0.023,20938339487.350403,202079291523.82968
0.024,20095782150.985012,188198085900.40045
0.025,21825199310.354168,198657975354.99615
0.026000000000000002,21467328151.00404,197754688483.48932
0.027,23175816427.403797,194802356343.86646
0.028,22189011733.339016,204548772857.45575
0.029,22521818020.003876,196011191847.66364
0.03,22837079131.56299,194279352370.67743
