time,C2H4,CH3CH2OO
0.0,1337521647.4016051,103765922725.08676
0.001,2761475350.778494,229323356306.4568
0.002,3381869178.598727,231638978893.46564
0.003,4047395825.0445833,210127538282.3486
0.004,4163522278.6081605,227784275177.91162
0.005,4871500014.936882,214740590778.0177
0.006,4689758725.04399,210456870545.08752
0.007,5367484218.730206,217712092556.79456
0.008,5700199079.364999,216496104982.3392
0.009000000000000001,6738598141.283192,212895026893.90344
0.01,6559745938.694642,214192469162.1553
0.011,7223322751.796707,200596061915.9158
0.012,7658857339.254501,208949677944.1434
0.013000000000000001,6985723737.83239,201031168618.95602
0.014,8633527670.155132,216519269446.22733
0.015,8447371621.2375765,208831674187.12958
0.016,9556755497.808296,208565225780.5588
0.017,9837803289.195507,195069848354.32507
0.018000000000000002,9740931335.159119,213764453457.7134
0.019,8876256481.720537,207455094507.7327
0.02,11346256774.159422,201758111744.602
0.021,11472599023.189713,210279539134.50626
0.022,11432322183.532135,194856648577.29596
0.023,11663034990.893232,190841900207.3676
0.024,12584808699.139053,205015939987.29703
0.025,12702744838.028862,207861285332.19876
0.026000000000000002,12382499094.750675,202230765022.66602
0.027,13167473200.568863,185168517523.24222
0.028,14397854948.149246,203885381670.95084
0.029,13614852255.386213,202972954356.29828
0.03,13628088667.726822,223325409402.13034
