time,C2H4,CH3CH2OO
0.0,18551239623.166073,2359888063690.4014
0.001,102107716420.87857,3915439438080.288
0.002,184593346074.04504,3983937436385.5127
0.003,237967092059.97073,4495009273954.543
0.004,372076603292.5976,3979283967764.2637
0.005,433733359344.162,3806916466360.427
0.006,502319789051.3158,4004546254217.9937
0.007,572201834444.1022,4101286794831.574
0.008,656597518156.0415,3679122108345.397
0.009000000000000001,730741852952.4701,3719539827354.392
0.01,706894520012.0258,3830469933206.462
0.011,894053217705.8069,3521690077331.6074
0.012,936758445413.6084,3695176115883.1816
0.013000000000000001,901456009673.5869,3425088826043.2505
0.014,1043694334437.5842,3348167015418.504
0.015,1084726344692.0472,3354719393738.842
0.016,1200679095309.5706,2926817894247.4404
0.017,1178876223498.8535,2803363832714.0996
0.018000000000000002,1141822356942.5002,2514281425177.4785
0.019,1374597302099.3164,3134765946526.1484
0.02,1534260671934.1023,3003804899579.9
0.021,1460895227393.4954,2823436683933.6772
0.022,1528586137249.2017,3070892669078.749
0.023,1467124131253.5754,2817366551185.782
0.024,1553319746441.8076,2469216191845.18
0.025,1639434952693.6035,2699821269132.4634
0.026000000000000002,1718662887109.2952,2649513897052.0293
0.027,1825468677274.9663,2560192594873.13
0.028,1995769188277.032,2515405213171.8564
0.029,1972558453652.3525,2499464043522.376
0.03,1881501206651.8618,2476550643374.125
