time,C2H4,CH3CH2OO
0.0,17626478611.194572,61722570343.894745
0.001,46761799680.56064,164232158579.28647
0.002,50235298517.7942,176180414860.23895
0.003,47220593830.21096,172020879845.78433
0.004,46702369450.167656,176747370070.625
0.005,50229517521.912224,174028632376.89636
0.006,54218970306.66734,169219616725.72473
0.007,52193410238.35172,156207124371.27765
0.008,51266286021.200836,167193013056.1089
0.009000000000000001,50023789529.40422,158676661645.71613
0.01,55510891074.066315,171190805044.49902
0.011,52346727767.48432,153043010773.2308
0.012,53548689085.4238,172320814083.32214
0.013000000000000001,55460910286.51733,161653610061.1687
0.014,48527299814.01459,167391338089.1283
0.015,54004501249.79779,181927462033.45428
0.016,52047446887.670815,162814678867.26093
0.017,60097044877.956085,174243707218.6809
0.018000000000000002,48708192732.68032,160257877631.38153
0.019,53572326414.903046,176127277266.3368
0.02,50982818943.72348,175878700091.29346
0.021,50401939515.318245,165048796513.81146
0.022,54397073218.23639,176725270809.39688
0.023,55856634215.479614,152456091533.18906
0.024,57160651579.00577,151606547484.42838
0.025,55599833475.8667,172897477109.854
0.026000000000000002,56887202215.567375,160455640948.86215
0.027,54546486417.01302,160850796027.91824
0.028,56053144628.684265,171181905713.5166
0.029,56102371661.19057,157550653041.66324
0.03,52346753309.369934,166760545519.2782
