time,C2H4,CH3CH2OO
0.0,6705558058.993867,105635240603.37445
0.001,32102115707.663063,175417402441.82803
0.002,53836456847.85637,160176885500.41855
0.003,81561608462.78758,145893753372.08044
0.004,97801585524.79779,132631836995.51382
0.005,109454325469.23303,107130685006.7388
0.006,128817993990.84727,98774960312.21979
0.007,136816113681.4844,85432836878.28119
0.008,150354435701.2741,74360177788.86937
0.009000000000000001,165154547214.92664,68187340915.62831
0.01,157220429606.7422,50491073686.951126
0.011,179252921397.87122,46169272173.59585
0.012,187086027543.85233,42162162602.73754
0.013000000000000001,169261858945.43512,38238533943.495895
0.014,177646713935.60312,31159483086.033993
0.015,193053346614.69836,26201375245.908005
0.016,200819897494.69104,23197068127.51535
0.017,204610602894.42297,20665930854.316757
0.018000000000000002,210178515560.9604,18492570895.456093
0.019,208434803271.95685,14723447509.819954
0.02,193293288036.83472,14951110921.751137
0.021,216145590467.88104,12955509985.412043
0.022,202850080213.55685,10953447678.562717
0.023,225889846419.78748,9314184626.355164
0.024,202678972303.25363,7836446113.618672
0.025,196957635130.77798,6732039213.304411
0.026000000000000002,202418230538.8593,6454606587.052064
0.027,215920314993.1869,4807079576.844351
0.028,204559865990.68323,4621182934.619063
0.029,216353659108.47812,4305027692.210666
0.03,198729221448.16394,3553250163.677158
