time,C2H4,CH3CH2OO
0.0,422765387550.2896,639958565411.876
0.001,1540213851151.9106,2336610932271.6743
0.002,1907875853602.052,2347305133440.8076
0.003,2021581704749.6353,2190353449389.1292
0.004,2257709778179.7593,1921424662770.367
0.005,2728835749584.017,1779012920725.4043
0.006,2404973859327.773,1685649576679.7944
0.007,2727650406537.696,1510647690810.4258
0.008,2919891793959.6987,1422941229178.7178
0.009000000000000001,2785562673741.019,1283296462639.4421
0.01,3240809702535.5366,1064341849660.8802
0.011,3302323633540.5864,982442139521.5486
0.012,3458195089539.6753,932820807395.1338
0.013000000000000001,3357880625902.6426,859050453756.8545
0.014,3581147638601.2144,733964354412.5103
0.015,3869226625331.624,654846864281.9275
0.016,3676060049005.2876,684840749144.1465
0.017,3351733164085.8154,588642621932.74
0.018000000000000002,3321838467845.3364,553098760421.8749
0.019,3851518599820.278,514099223812.8666
0.02,4021766057332.8643,422898244856.6125
0.021,3682810043046.451,411727377279.0291
0.022,3815586450796.9287,395202990747.8349
0.023,4045126259170.9395,361264000405.55865
0.024,4133400918585.9995,301593384053.629
0.025,3788538980353.76,297271093078.9255
0.026000000000000002,3711621789040.175,251488513675.5768
0.027,4049495857307.1416,211009390187.0695
0.028,4029986437540.247,220960693683.47485
0.029,4155563957524.3286,179429306978.91165
0.03,3886631702021.0537,175487000153.69196
