time,C2H4,CH3CH2OO
0.0,282133230.3175973,111152270360.27042
0.001,986334694.3003521,235444567083.49875
0.002,1361947686.540906,208847806589.03897
0.003,1662937164.949621,220480977233.23117
0.004,2186136805.482695,223572168862.44324
0.005,2871181637.0702925,216979549467.8953
0.006,2994532246.3937135,208258832959.86346
0.007,3670228228.0754275,199267597257.90482
0.008,3648889848.642189,213137425766.81335
0.009000000000000001,4331404338.881144,210765077331.41364
0.01,4748447885.134682,203037526817.6095
0.011,5272239273.385519,196652798987.0636
0.012,5917470763.49763,211843900146.64938
0.013000000000000001,6024143343.628284,185982711788.29
0.014,6513772281.12276,210136317998.96252
0.015,6811472021.905296,222924887300.73108
0.016,6903068777.939203,216990609050.2663
0.017,7130356701.577961,213355896686.32965
0.018000000000000002,8424307030.818422,203167388677.7073
0.019,8583467959.350222,205954602589.2721
0.02,8834115125.12319,209076041951.02988
0.021,9562134855.335846,219786290160.29794
0.022,9514999187.696371,205329877816.16302
0.023,10280963153.67974,207639505519.69714
0.024,9977032063.322338,216020426709.90793
0.025,11699026198.03928,212560527451.60233
0.026000000000000002,11415246814.850925,219758859084.51465
0.027,10930238159.998257,194733479721.94363
0.028,12402469668.923199,196114214664.4976
0.029,12162833693.91872,218387461409.9441
0.03,13461067514.581696,215192870109.46753
