time,C2H4,CH3CH2OO
0.0,12777145015.183975,103342418603.77173
0.001,46724944327.17731,174125697554.81104
0.002,62321660112.55887,137350417980.55582
0.003,77497114821.94681,135096415740.0006
0.004,88825183934.87794,114484937474.2584
0.005,122750241501.5463,108309061337.96196
0.006,130743068504.84285,89697787204.06882
0.007,134590103960.05244,77606165609.57796
0.008,152566016101.41748,65675374835.61741
0.009000000000000001,154693966835.72678,59726497647.663574
0.01,162220811102.90485,52198848063.77977
0.011,176027980577.04715,49615369999.51291
0.012,172015666770.6542,40267010564.44515
0.013000000000000001,182465792501.73865,38364524075.26641
0.014,184604144849.27014,33976191757.20601
0.015,196556278224.40613,28049143605.148483
0.016,194790052959.86255,27882331042.92999
0.017,197731297022.9675,21940339751.047096
0.018000000000000002,189522203949.3029,19670228504.849834
0.019,202737328462.51196,17189626827.55412
0.02,194438829305.9839,15096581690.860392
0.021,198368858750.4713,13452494037.283192
0.022,216421834006.8202,11803288116.055822
0.023,208528110739.71606,10256689118.006437
0.024,218179504706.60095,8282289211.353378
0.025,210879155585.0984,8024214518.255802
0.026000000000000002,223308829304.38672,7193027712.995911
0.027,209806281489.73465,6790169149.277878
0.028,228021151833.08105,5208102197.2637825
0.029,214373925894.47543,4781240018.144792
0.03,205961900522.09686,4413358680.763983
