time,C2H4,CH3CH2OO
0.0,4343493655.300053,102031688269.45375
0.001,28638405875.63223,177343082862.31555
0.002,50341168397.15735,163778257116.38477
0.003,79054983700.11302,139251102599.42484
0.004,90982898148.80443,115213779891.86588
0.005,95404754279.48224,101879784559.78221
0.006,122499170695.74829,96958643265.01274
0.007,150135227147.623,88181910425.26775
0.008,155314813871.43558,74645200978.90186
0.009000000000000001,160646308529.23108,63973145318.86356
0.01,168667522976.48816,58778498887.6386
0.011,180380975731.46066,45998669466.73992
0.012,183395277257.2037,40641584394.0451
0.013000000000000001,192976169015.02832,36361739974.30892
0.014,194953481255.2183,31821950221.774536
0.015,183771572348.14105,29907590483.35855
0.016,196841920778.49805,22601845702.73273
0.017,194851493427.02673,20060821075.03215
0.018000000000000002,199526030563.69464,17998690396.328613
0.019,204460050115.8027,15632371942.882767
0.02,204471856558.05896,14777149466.515472
0.021,213999360791.74292,12077481246.012865
0.022,206577473028.0605,10476223933.36055
0.023,216920441829.80157,8874072371.54117
0.024,200346912983.5969,7471570470.36573
0.025,221002147457.25854,6291794015.935337
0.026000000000000002,191592740378.34775,5896525848.569333
0.027,208021689062.75394,5094997250.966344
0.028,221024412065.74805,4682111082.882466
0.029,208720973624.06204,4100201967.7519755
0.03,203308864899.03455,3291674587.6162233
