time,C2H4,CH3CH2OO
0.0,26750432948.0321,2075318454501.735
0.001,55229507015.56988,4586467126129.136
0.002,67637383571.97454,4632779577869.3125
0.003,80947916500.89166,4202550765646.9717
0.004,83270445572.16321,4555685503558.232
0.005,97430000298.73764,4294811815560.3535
0.006,93795174500.8798,4209137410901.7505
0.007,107349684374.60411,4354241851135.891
0.008,114003981587.29997,4329922099646.7837
0.009000000000000001,134771962825.66382,4257900537878.0684
0.01,131194918773.89284,4283849383243.106
0.011,144466455035.93414,4011921238318.316
0.012,153177146785.09003,4178993558882.8677
0.013000000000000001,139714474756.6478,4020623372379.12
0.014,172670553403.10263,4330385388924.5464
0.015,168947432424.75153,4176633483742.5913
0.016,191135109956.16592,4171304515611.176
0.017,196756065783.91013,3901396967086.5015
0.018000000000000002,194818626703.18237,4275289069154.268
0.019,177525129634.41074,4149101890154.654
0.02,226925135483.18842,4035162234892.0396
0.021,229451980463.79425,4205590782690.125
0.022,228646443670.6427,3897132971545.919
0.023,233260699817.86462,3816838004147.352
0.024,251696173982.78104,4100318799745.9404
0.025,254054896760.57724,4157225706643.975
0.026000000000000002,247649981895.0135,4044615300453.32
0.027,263349464011.37726,3703370350464.844
0.028,287957098962.9849,4077707633419.0166
0.029,272297045107.72424,4059459087125.9653
0.03,272561773354.53644,4466508188042.606
