time,C2H4,CH3CH2OO
0.0,927561981.1583037,117994403184.52008
0.001,5105385821.043929,195771971904.0144
0.002,9229667303.702253,199196871819.27563
0.003,11898354602.998537,224750463697.72717
0.004,18603830164.62988,198964198388.2132
0.005,21686667967.2081,190345823318.02136
0.006,25115989452.565792,200227312710.8997
0.007,28610091722.20511,205064339741.57874
0.008,32829875907.80208,183956105417.26987
0.009000000000000001,36537092647.623505,185976991367.7196
0.01,35344726000.60129,191523496660.32312
0.011,44702660885.290344,176084503866.58038
0.012,46837922270.68042,184758805794.1591
0.013000000000000001,45072800483.67935,171254441302.16254
0.014,52184716721.87921,167408350770.9252
0.015,54236317234.60236,167735969686.9421
0.016,60033954765.47853,146340894712.37204
0.017,58943811174.94268,140168191635.705
0.018000000000000002,57091117847.125015,125714071258.87393
0.019,68729865104.96582,156738297326.30743
0.02,76713033596.70512,150190244978.995
0.021,73044761369.67477,141171834196.68387
0.022,76429306862.46008,153544633453.93747
0.023,73356206562.67877,140868327559.28912
0.024,77665987322.09038,123460809592.25902
0.025,81971747634.68018,134991063456.62317
0.026000000000000002,85933144355.46477,132475694852.60147
0.027,91273433863.74832,128009629743.6565
0.028,99788459413.85161,125770260658.59283
0.029,98627922682.61763,124973202176.1188
0.03,94075060332.5931,123827532168.70625
