time,C2H4,CH3CH2OO
0.0,160752102697.6675,1894546167682.7827
0.001,410626715121.05927,4139905177451.6753
0.002,413478983562.49457,3859000739752.0356
0.003,506625764832.70013,3851362973446.4907
0.004,571217801124.3884,3844095622241.9214
0.005,625109296272.5353,3601422228007.543
0.006,734119459835.2197,3661532667285.0586
0.007,789442451130.0134,3475052316768.839
0.008,828278258452.3826,3429708053401.0396
0.009000000000000001,994159551725.088,3444136072527.8125
0.01,1046016605058.3823,3202871302098.3477
0.011,1057828219282.31,3529166824222.0366
0.012,1094316260035.3751,3283982629755.892
0.013000000000000001,1230784689195.3035,3220329160608.8247
0.014,1324751632628.4348,3015180280153.7495
0.015,1343962202849.5684,3178969982148.6553
0.016,1440589309694.6763,2779248877713.8037
0.017,1262611678495.804,2945463983525.9287
0.018000000000000002,1452366712866.6558,3052280472713.4897
0.019,1548091039030.9521,3007363123004.207
0.02,1556303289816.969,2949212291242.507
0.021,1437832246720.9973,2714967239397.585
0.022,1644256021184.314,2651883384699.5176
0.023,1735408896888.3975,2783485512357.758
0.024,1696416517833.7153,2826567234048.655
0.025,1639198948005.224,2481927427457.345
0.026000000000000002,1887921094878.145,2447377855319.389
0.027,1860466498440.4854,2528988649994.4775
0.028,2019937567502.67,2321868563383.7544
0.029,1931963301274.9385,2509780815727.094
0.03,2118120526873.9539,2343599459802.7095
