 4 12 
 no freq

1	1	2.192
1	2	1.586
1	3	0.207
1	4	0.287
1	5	0.940
1	6	0.677
1	7	0.281
1	8	0.677
1	9	0.940
1	10	0.287
1	11	0.207
1	12	1.586
2	1	3.972
2	2	2.968
2	3	1.832
2	4	1.880
2	5	2.268
2	6	1.919
2	7	1.623
2	8	1.919
2	9	2.268
2	10	1.880
2	11	1.832
2	12	2.968
3	1	5.392
3	2	4.522
3	3	3.286
3	4	3.556
3	5	3.920
3	6	3.404
3	7	2.908
3	8	3.404
3	9	3.920
3	10	3.556
3	11	3.286
3	12	4.522
4	1	3.972
4	2	2.968
4	3	1.832
4	4	1.880
4	5	2.268
4	6	1.919
4	7	1.623
4	8	1.919
4	9	2.268
4	10	1.880
4	11	1.832
4	12	2.968

