time,C2H4,CH3CH2OO
0.0,18692438641.760223,48949188917.10157
0.001,63020146531.06766,135157123355.3512
0.002,63675626697.9079,152331951036.30988
0.003,62847812302.850945,169456220780.6616
0.004,67802086767.382706,142728664721.83545
0.005,71310120896.02904,131693976707.97162
0.006,72838083227.3688,143768848306.19186
0.007,79202322102.39578,143079306587.36493
0.008,83509924875.21588,138630417573.07507
0.009000000000000001,89041580197.45915,126907539017.55513
0.01,76865196365.65953,138034888892.3005
0.011,87843356221.11127,132992424176.67967
0.012,79789361263.91881,126541520821.24136
0.013000000000000001,95298555302.8902,134403481561.6302
0.014,84121199020.72867,125141643198.12488
0.015,86555051038.55115,116802988403.32791
0.016,95188490099.88788,121096326263.16722
0.017,95097622716.68658,119798210877.55367
0.018000000000000002,89165594895.65913,117807426377.1085
0.019,102358264203.3124,117855568705.33539
0.02,102943208250.42616,120304296167.60672
0.021,93048169396.71356,117264627256.30472
0.022,105912993015.38211,119318477323.23322
0.023,109887000871.78296,104812911076.93211
0.024,102480287703.56815,111410875415.52228
0.025,116065166465.4304,113589616286.08067
0.026000000000000002,112878448935.72229,99133029074.4203
0.027,110387573814.84467,102009861971.8941
0.028,110520167273.52151,106836941816.61327
0.029,114781509905.8377,104167467274.11423
0.03,120897820409.95203,109284337968.91528
