time,C2H4,CH3CH2OO
0.0,352529572223.8914,1234451406877.8948
0.001,935235993611.2128,3284643171585.729
0.002,1004705970355.8839,3523608297204.779
0.003,944411876604.2191,3440417596915.6865
0.004,934047389003.353,3534947401412.5
0.005,1004590350438.2444,3480572647537.927
0.006,1084379406133.3468,3384392334514.494
0.007,1043868204767.0344,3124142487425.5527
0.008,1025325720424.0166,3343860261122.1777
0.009000000000000001,1000475790588.0844,3173533232914.3223
0.01,1110217821481.3262,3423816100889.9805
0.011,1046934555349.6864,3060860215464.616
0.012,1070973781708.4758,3446416281666.4424
0.013000000000000001,1109218205730.3464,3233072201223.374
0.014,970545996280.2917,3347826761782.5654
0.015,1080090024995.9558,3638549240669.0854
0.016,1040948937753.4163,3256293577345.2183
0.017,1201940897559.1216,3484874144373.6177
0.018000000000000002,974163854653.6063,3205157552627.6304
0.019,1071446528298.0609,3522545545326.7354
0.02,1019656378874.4695,3517574001825.8687
0.021,1008038790306.3649,3300975930276.229
0.022,1087941464364.7278,3534505416187.9375
0.023,1117132684309.5923,3049121830663.781
0.024,1143213031580.1152,3032130949688.5674
0.025,1111996669517.334,3457949542197.0796
0.026000000000000002,1137744044311.3474,3209112818977.2427
0.027,1090929728340.2604,3217015920558.3647
0.028,1121062892573.6853,3423638114270.3315
0.029,1122047433223.8113,3151013060833.2646
0.03,1046935066187.3987,3335210910385.564
